objectid,title,author,age_group,boy,girl,gender_neutral,required_cast,ensemble,length,genre,date_published,date_description,publisher,licensing,musical,adaptation,adaptation_of,description,colocated,notes,format
126,English Made Simple,"Ives, David",12-18,2,1,0,3,FALSE,10,Satire,1994,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"A young man and woman meet at a party, and their immediate romantic attraction is translated into comically unromantic grammar lessons as they struggle to free themselves from the banal constrictions of party talk.",,,
127,"Euphio Question, The","Vonnegut, Kurt",12-18,3,3,0,6,FALSE,22,,1951,,Unknown,TRUE,FALSE,TRUE,Adapted from the short storyof the same name by Kurt Vonnegut.,"Based on Vonnegut’s 1951 short euphiomachinestory from Welcome to the Monkey House, a young physicist discovers radio waves that can make people happy at the flick of a switch. An unscrupulous businessman takes the device in a direction the young physicist never suspected, and the ramifications of his discovery resonate through society, changing it completely – leaving the public wondering what good there is in happiness, when it’s just a button-push away?",,,
128,Extremities,"Mastrosimone, William",16-18,1,3,0,4,FALSE,61,,1982,,Concord Theatricals,TRUE,FALSE,TRUE,,"Marjorie is home alone when Raul enters through her unlocked door and attempts to attack and rape her. The tables turn when Marjorie is able to subdue Raul and keep him tied up in her fireplace. When Terry and Patricia, Marjorie's roommates, come home, they are shocked and begin discussing how to handle the situation: call the police or take matters into their own hands?",,,
129,"Faces of Deka, The","Niggli, Josefina",14-18,1,7,1,9,FALSE,19,,1936,,Unknown,TRUE,FALSE,FALSE,,A futuristic play where women rule the world.,,Written by Latina playwright Josefina Niggli under the pseudonym Michael Morgan.,
130,Fiddler on the Roof,"Stein, Joseph",10-18,7,9,0,16,TRUE,105,,1964,,Music Theater International,TRUE,TRUE,TRUE,Adapted from the short story Tevye and his Daughters or Tevye the Dairyman by Sholem Aleichem.,"The story centers on Tevye, a milkman in the village of Anatevka, who attempts to maintain his Jewish religious and cultural traditions as outside influences encroach upon his family's lives. He must cope with the strong-willed actions of his three older daughters who wish to marry for love; their choices of husbands are successively less palatable for Tevye. An edict of the tsar eventually evicts the Jews from their village.",,"The binder contains multiple notes, registrations from previous children's summer camp programs, and other archival materials.",
131,"Fifteen Minute Hamlet, The","Stoppard, Tom",12-18,4,2,0,6,TRUE,16,,1976,,"Samuel French, Inc.",TRUE,FALSE,TRUE,Adapted from Shakespere's Hamlet.,"Hamlet, Prince of Denmark, deals with his father's death and mother's remarriage to his uncle.",,,
132,Fifth of July,"Wilson, Lanford",12-18,4,4,0,8,FALSE,68,,1980,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"The scene is a sprawling farmhouse in rural Missouri, which is home to Ken, a legless Vietnam veteran, and his lover, Jed, a horticulturist. They are visited by Ken’s sister, June, and her teenage daughter, and by Gwen and John—the former a hard-drinking, pill-popping heiress who aspires to be a rock star, the latter her wary-eyed husband and manager. All are old friends from college days, and former activists who agitated for what they hoped would be a better world. The action centers on Gwen’s offer to buy the farm, which she plans to convert into a recording center, and on Ken’s Aunt Sally, who has come to the family homestead to scatter the ashes of her late husband. Their talk, as the play progresses, is sharp and funny and, in the final essence, deeply revealing of lost hopes and dreams and of the bitterness that must be fought back if one is to perceive the good that life can offer.",,,
133,Fire Demon and South Wind: A Korean Folktale,"Winther, Barbara",04-08,1,1,10,12,TRUE,11,Folktales,1976,,"Plays, Inc.",TRUE,FALSE,TRUE,Korean Folktale,A fire demon and the south wind conspire to cause mischief for a village. The villagers work together to come up with a solution.,,,
134,"Five Finger Exercise, scene","Shaffer, Peter",14-18,2,0,0,2,FALSE,8,Scene,1958,,"Samuel French, Inc.",TRUE,FALSE,FALSE,,"This taut family drama centers on a young German student who, coming to England to tutor the daughter of well-to-do family is drawn into the various individual dramas of these fractured, isolated people.","Co-located in ""Scenes"" folder","Scenes 3-4, Stanley and Clive argue.",
135,Five Foolish Freds,"Stephens, Jeffryn",04-10,0,0,6,6,FALSE,5,,1988,,YPPC,FALSE,FALSE,FALSE,,"Five Freds went fishing, and thought they lost a Fred. A stranger helps them realize they miscounted.",,"This is the same play as Seven Simons, just with a slightly smaller cast.",
136,Five Funny and Fabulous Fables and a Couple of Silly Songs,"Stephens, Jeffryn",04-10,8,8,11,27,TRUE,16,,1982,,YPPC,FALSE,TRUE,TRUE,Adapted from Pandora's Jar.,"Pandora is given a box by the gods, but forbidden to open it. Ander's Cap is a story about a boy who rejects all kinds of gifts in favor of keeping the cap his mother made him.",,"Two plays and two songs, an adaptation of Hey Diddle Diddle and Herman.",
137,FOB,"Hwang, David Henry",14-18,2,1,0,3,FALSE,40,,1980,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"Grace and Dale are cousins, living in the Los Angeles area and attending college. Dale is fully American, second generation. Grace is first generation and holds the customs of China in higher regard. The arrival of Steve, an exchange student and a newcomer from China, fresh off the boat, forces them to confront a number of conflicting feelings about America, China and themselves. Dale is very confrontational with Steve, mocking his English and manner. And in turn Steve is defiant and even provocative. Grace tries to keep the conflict from escalating but finds herself increasingly drawn to Steve. Grace decides to go with Steve to a school dance and an uneasy truce, of sorts, is reached between Dale and Steve.",,,
138,Follow the River Lai,"Winther, Barbara",04-10,7,2,0,9,TRUE,13,,1976,,"Plays, Inc.",FALSE,FALSE,TRUE,Based on the Vietnamese folktale.,Man searches for utopia and finds it. After living there he returns home to find a hundred years have passed; his old friend's son learns a lesson from the experience,,"Folder contains music for ""Grotto Maidens Song"" set to Mountain High, Valley Low, as well as two maps: one of Southwest Asia and one of Southeast Asia and a copy of a mid-1800s print of London.",
139,For Whom the Southern Belle Tolls,"Durang, Christopher",14-18,2,2,0,4,FALSE,12,Satire,1996,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"In this parody of The Glass Menagerie, the fading Southern belle, Amanda, tries to prepare her hyper-sensitive, hypochondriacal son, Lawrence, for ""the feminine caller."" Terrified of people, Lawrence plays with his collection of glass cocktail stirrers. Ginny, the feminine caller, is hard of hearing and overbearingly friendly. Brother Tom wants to go the movies, where he keeps meeting sailors who need to be put up in his room. Amanda tries to face everything with ""charm and vivacity,"" but sometimes she just wants to hit somebody.",,,
140,"Forced Marriage, The","Moliere,",12-18,6,4,1,11,FALSE,20,,1664,,Unknown,FALSE,FALSE,FALSE,,"An old bachelor engaged to a young woman realizes he has made a mistake, but his fiancee's father will not let him back out. Nor will her brother, who is an expert swordsman.…",,,
141,"Foreplay, or The Art of the Fugue","Ives, David",14-18,3,3,0,6,FALSE,20,Comedy,,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"Meet Chuck, a would-be Don Juan, in three rounds of seduction with three different women on a miniature-golf course.",,,
142,"Forgotten Door, The","Falls, Gregory A.",10-18,7,4,3,14,FALSE,28,,1981,,"Anchorage Press, Inc.",TRUE,FALSE,TRUE,Based on the novel by Alexander Key.,"Jon, a boy from another world, accidentally falls through a forgotten door to Earth losing his memory, but retaining his ability to communicate with animals and hear people's thoughts. He is warned of danger by a deer and narrowly escapes peril throughout his adventure. He happens upon the farm of kindly Mary and Thomas Bean. Jon's supernatural abilities are almost immediately apparent to Mary, and she suspects he is otherworldly. Thomas is skeptical, at first. Word travels fast about a ""genius boy"" staying with the Bean's farm. Mary and Thomas realize there is precious little time to take Jon elsewhere before everyone from threatening neighbors to the CIA tries to get their hands on him. The military and the press are closing in on the house when Jon ""hears"" his father's voice calling him from their world. Jon realizes the door is open again, and without a moment to lose, the three of them steal away through the woods on a moonless night, guided by the voice of Jon's father to seek the forgotten door.",,,
143,Free to Be…You and Me,"Love, Douglas",04-18,2,2,6,10,TRUE,114,,2014,,Concord Theatricals,TRUE,TRUE,TRUE,"Free to Be… You and Me debuted as a record album and illustrated book in November 1972. Conceived and created by Marlo Thomas, the album featured a number of celebrities, including Alan Alda, Rosey Grier, Cicely Tyson, Carol Channing, Michael Jackson, Roberta Flack, Shirley Jones, Jack Cassidy and Diana Ross. An ABC television special, also created by Thomas, premiered in March 1974. The show won an Emmy and a Peabody, the book was #1 on the New York Times bestseller list, and the record sold over 10 million copies.","Marlo Thomas conceived a children’s book that, instead of telling boys and girls who they should be, would open them to the possibilities of who they could be. She gathered many of her supremely talented friends from various worlds of the arts and the remarkable result is highly regarded as a modern classic of children’s literature. Life-enhancing themes are imaginatively blended with music and humor to expand children's personal horizons, enabling them to invent their own futures without limitation, while dispelling some old constraints and worn-out conventions in the process. Parents, teachers and other grown-up friends will delight in sharing this extraordinary and memorable experience with the children in their lives.",,"This looks like the updated version, which was renewed in 2014.",
144,G.R.O.S.S.,"Unknown,",06-12,2,1,0,3,FALSE,3,Comedy,,Unknown,Unknown,TRUE,FALSE,TRUE,Adapted form the Calvin and Hobbes comics,"Calvin starts his club, GROSS, to keep Suzie out of his playhouse.",,,
145,Gigi,"Loos, Anita",14-18,5,3,0,8,TRUE,27,,1950,,Concord Theatricals,TRUE,FALSE,TRUE,Based on a novel by Colette.,"In the elegant atmosphere of Paris in the 1890s, a wealthy and handsome aristocrat named Gaston falls for Gigi, a young and innocent girl raised to be a courtesan.",,,
506,"Girl from the Sea, The","Heiderstadt, Dorothy",08-18,2,4,0,6,FALSE,22,Folktales,1985,,"Boston Plays, Inc.",TRUE,FALSE,FALSE,,,,,
146,"Girl in the Coffin, The","Dreiser, Theodore",12-18,4,3,0,7,FALSE,20,,1917,,Unknown,FALSE,FALSE,FALSE,,"One of the first labor dramas, a mill foreman loses his daughter and a strike leader loses his love.",,,
147,"Girl Whose Fortune Sought Her, The","Clapp, Patricia",06-12,1,3,2,6,FALSE,12,,1985,,Unknown,TRUE,FALSE,FALSE,,"Seeking something big to do with her life, young girl finds her fortune is growing right in front of her.",,"From Children's plays from favorite stories : royalty-free dramatizations of fables, fairy tales, folk tales, and legends
 by Kamerman, Sylvia E.",
148,"Glass Menagerie, The","Williams, Tennessee",12-18,2,2,0,4,FALSE,58,,1944,,Concord Theatricals,TRUE,FALSE,FALSE,,"From her cramped St. Louis apartment, Amanda Wingfield dreams of her days as a Southern debutante while worrying about the future of her aimless son Tom and unmarried daughter Laura. With their father absent and the Great Depression in motion, the siblings find comfort in their foibles — alcohol, movies and writing for Tom and a collection of glass animals for Laura — which only heightens Amanda’s anxiety. When a gentleman caller arrives for dinner, the Wingfields are flooded with hope. But it’s unclear if his presence will change things for the better or shatter their fragile illusions.",,This is only scene 3; it is in a folder with Act 2 of The Crucible.,
149,God (A Comedy in One Act),"Allen, Woody",12-18,20,8,0,28,FALSE,54,,1975,,Concord Theatricals,TRUE,FALSE,FALSE,,"Set in an empty Greek amphitheater, this mad play within a play switches back and forth between ancient Athens and modern Broadway. A Greek actor and a writer are discussing how to end a play. Actors, including Doris Levine from Great Neck, Blanche DuBois, and Groucho Marx, pop out of the audience. Peppered with metaphysical and philosophical questions, the play skids along farcically until the actor and writer conclude that it lacks a beginning as well as an end.",,,
150,"Goddess, The, monologue","Chayefsky, Paddy",14-18,0,1,0,1,FALSE,4,Monologue,1958,,Columbia Pictures,TRUE,FALSE,FALSE,,"On a date with Lewis, a local boy, Emily Ann reveals her enthuiasm for the life of an actress in these two monologues.",,,
151,"Gods of the Mountain , The","Dunsany, Lord",08-18,0,0,10,10,TRUE,25,,1911,,Unknown,FALSE,FALSE,FALSE,,"“The Gods of the Mountain” tells the morality tale of beggars turned thieves who disguise themselves as the gods of a certain town wherein reside seven jade idols representing the local gods, and the consequences of hubris, greed, and the audacity of challenging said gods.",,,
152,"Golden Goose, The","Stephens, Jeffryn",04-10,1,4,6,11,TRUE,9,,1983,,YPPC,FALSE,FALSE,TRUE,Based on the fairy tale The Golden Goose.,"The youngest of three is gifted a golden goose after an act of kindness. As they carry it home, people keep trying to pluck a golden feather from the goose and find themselves stuck.",,There are multiple versions of this script.,
153,"Good Doctor, The","Simon, Neil",14-18,3,2,0,5,TRUE,107,,1973,,"Samuel French, Inc.",TRUE,TRUE,TRUE,Adapted from and suggested by stories by Anton Chekhov.,"This Broadway hit, a composite of Neil Simon and Anton Chekhov, consists of a series of comic vignettes narrated by “The Writer.” In one sketch, a feisty old woman storms a bank and upbraids the manager for his gout and lack of money. In another, a father takes his son to a house to initiate him into the mysteries of sex, only to relent at the last moment and leave the boy more perplexed than ever. In another sketch, a crafty seducer goes to work on a wedded woman, only to realize that the woman has been in command from the first overture. And let us not forget the classic tale of a man who offers to drown himself for three rubles. The stories are droll, the portraits affectionate, the humor infectious and the fun unending.","Also located in the folder labeled ""Night of the Slaughtered Chicken"" and in a folder in the Ts.",,
154,Good Good Trouble on Bad Bad Island,"Mikel, Joshua",06-12,3,1,16,20,TRUE,35,,2010,,Playscripts,TRUE,FALSE,FALSE,,"When a package bound for Good Good Island is mistakenly delivered to Bad Bad Island, the Bad Bads find something frighteningly horrible inside: a little girl named Rosa! Unable to choose between throwing her into a volcano or tossing her into the sea, the creatures of the island finally agree that their ruler, The Idol, should decide. He challenges Rosa with a series of impossible tasks -- but what happens when she starts doing the impossible? This wildly inventive adventure shows that sometimes family and goodness can be found in the most unlikely of places.",,,
155,"Goodbye Girl, The","Simon, Neil",12-18,9,12,3,24,TRUE,98,,1993,,Concord Theatricals,TRUE,TRUE,TRUE,Based on the 1977 film The Goodbye Girl.,"New York dancer Paula McFadden and her 12-year-old daughter Lucy find themselves abandoned by Paula's most recent lover, Tony. Left with $400 of debt, they cancel their travel plans and decide to stay in their Upper West Side apartment. Unfortunately, Tony arranged for a subletter: eccentric actor Elliot Garfield, who claims a right to occupy the apartment. Can Paula, Lucy and Elliot learn to coexist in a cramped New York brownstone? Despite a rocky start and some hilarious complications, Paula and Elliot find love, and Lucy finally approves of the man in her mother's life.",,,
156,"Goodbye, Howard","Linney, Romulus",10-18,2,4,0,6,TRUE,13,,1968,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"Set in a North Carolina hospital, where three aging (and rich) spinster sisters wait for news of their brother’s death. They are worried about how their mother (who must be 100) will react to the sad tidings an eventuality which is ameliorated by the intrusion of a brash young man who seems to lack the proper respect for the aged, and the dying.",,,
157,"Graduation Project, The","Pizzarello, Jason",12-18,0,0,3,3,FALSE,3,Comedy,2015,,Stage Partners,TRUE,FALSE,FALSE,,"The one where two over-achieving, but selfish Seniors must put aside their own ambitions and help their fellow students in order to graduate. The problem? Graduation is in two days. Hashtag uh oh?",,,
158,"Grass Harp, The","Elmslie, Kenward",08-18,7,7,0,14,FALSE,12,,1971,,Concord Theatricals,TRUE,TRUE,TRUE,Based on the novel by Truman Capote,"This story tells of Dollyheart, a sweet-natured spinster with a secret recipe for an elixir cure, and her demanding sister, Verena, who is determined to exploit the recipe for her own purposes. When tensions rise, Dollyheart leaves her sister's house with their orphaned teenage nephew Colin and housekeeper Catherine to take up residence in a tree house. It isn't long before other outcasts join their extended family, including the revivalist Babylove and the children who comprise her Miracle Show, and the dearly eccentric Judge Cool. The deep emotional currents of these shifting relationships lead to an uplifting, compelling reconciliation.",,This does not appear to be the complete play. These copies need preservation work.,
159,"Groom's Ghost, The","Irving, Washington",08-18,2,4,5,11,TRUE,8,,,1980s,Unknown,TRUE,FALSE,TRUE,Based on the Washington Irving story The Spectre Bridegroom,"A groom is murdered on the way to his wedding. While his friend tries to deliver the bad news, he is so entranced with the bride that he does not speak. As the wedding continues, the man becomes more and more upset. Finally he insists on leaving, telling the lord of the house that he cannot stay because he has an appointment the next morning at his own funeral.",,,
160,"Growin', A","Chapman, Margaret",12-18,3,3,0,6,FALSE,17,,1988,,YPPC,FALSE,FALSE,FALSE,,"A series of vignettes about growing up in a family. Includes a first birthday, a car trip, and a discussion about missing money.",,"Possibly complete? Need to ask Jessica as the acts are seperated and there are different numbers of them. Written by members of the 1988 Playwriting Class, assisted by Ty Stephens. Authors Margaret Chapman, Karen Moore, Hilary Sparrow, and Lisa Raimi.",
161,Guys and Dolls Jr.,"Burrows, Abe",04-18,10,3,1,14,TRUE,87,,1950,,Music Theater International,TRUE,TRUE,TRUE,Adapted from Guys and Dolls by Damon Runyon.,"Guys and Dolls JR. follows gambler, Nathan Detroit, as he tries to find the cash to set up the biggest crap game in town while the authorities breathe down his neck. Meanwhile, his girlfriend and nightclub performer, Adelaide, laments that they've been engaged for fourteen years without ever getting married. Nathan turns to fellow gambler, Sky Masterson, for the dough, but Sky ends up chasing the straight-laced missionary, Sarah Brown. Guys and Dolls JR. takes us from the heart of Times Square to the cafes of Havana, but everyone eventually ends up right where they belong.",,"There is only one script, which appears to be fragmentary, and a workbook.",
162,Halfway up the Tree,"Ustinov, Peter",10-18,5,4,0,9,FALSE,115,,1967,,"Samuel French, Inc.",TRUE,FALSE,FALSE,,"This timely satire on the everlasting generation gap is not content to dally with the problem, but boldly thrusts on by having the older generation beat the younger at its own game. It begins with the return from middle east duty of a general who finds he hardly recognizes his children. His son has embraced the new cult of the moment and his daughter is enceinte by persons unknown. Rather than rant and rave, the general looks into the matter. And, by george, he even adapts to it. The children protest that he is aping them and trying to shame them into going back into society; but no, he is in earnest as he climbs a tree and elevates the cult to new realms. Soon, everybody wants a tree to climb into.",,,
163,Hanky Spanky Skiddeldy Doo: A Fantasy for Children,"Donavan, William",04-12,1,4,8,13,TRUE,68,,1972,,University of North Carolina at Chapel Hill,TRUE,FALSE,FALSE,,"A fairy tale similar to Toads and Diamonds. A girl is oppressed by her stepmother and stepsister, then lost in the woods. Her only friend, a sunflower, plots to get her back. Meanwhile, the girl is kind to the creatures she meets in the woods and makes friends who help her.",,This was submitted by William C. Donavan as their thesis for an MA in the Department of Dramatic Art in 1972.,
164,"Happy Birthday, Wanda June (Act 1 only)","Vonnegut, Jr., Kurt",12-18,5,2,2,9,FALSE,27,,1970,,"Samuel French, Inc.",TRUE,FALSE,FALSE,,"A woman with a little boy has two suitors: a doctor and a vacuum cleaner salesman. Her husband, a famous big-game hunter and adventurer, disappeared years ago in the Amazon. She is about to be declared a widow when in he walks, khaki breeches, puttees, and all, together with the pilot with whom he crashed in the Amazon valley. It happens to be his birthday, an event which all those present had decided to celebrate and for which they had just purchased a cake on the spur of the moment. The cake had been intended for somebody named Wanda June, who apparently never got to celebrate at all. The adventurer turns out to be a wild champion of havoc who alienates friends and demolishes violins. He fails in his effort to get his son to shoot him – the boy doesn’t believe in that kind of old-fashioned heroism – and then in his own effort to shoot himself. He is a social flop out.",,,
165,"Happy Journey to Trenton and Camdel, The","Wilder, Thornton",12-18,2,3,1,6,FALSE,22,,1931,,Unknown,TRUE,FALSE,FALSE,,"Almost the entire play takes place during an automobile journey from Newark to Camden, New Jersey by a family on their way to visit a married daughter, who has recently lost a baby in childbirth. Very little happens, but the father, mother, and children reminisce, joke, and sightsee and somehow, in classic Thornton Wilder fashion, capture something of the universal joy and sadness of life as they motor along.",,,
166,Harlequinade,"Rattigan, Terence",12-18,9,5,0,14,FALSE,44,,1948,,"Samuel French, Inc.",TRUE,FALSE,FALSE,,One of two Shakespearean ham actors touring the provinces has a dubious and shady past. Presented on Broadway with The Browning Version,,,
167,Harvey,"Chase, Mary",08-18,6,6,0,12,FALSE,71,,1944,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"Elwood P. Dowd insists on including his friend Harvey in all of his sister Veta’s social gatherings. Trouble is, Harvey is an imaginary six-and-a-half-foot-tall rabbit. To avoid future embarassment for her family—and especially for her daughter, Myrtle Mae—Veta decides to have Elwood committed to a sanitarium. At the sanitarium, a frantic Veta explains to the staff that her years of living with Elwood’s hallucination have caused her to see Harvey also, and so the doctors mistakenly commit her instead of her mild-mannered brother. The truth comes out, however; Veta is freed, and the search is on for Elwood, who eventually arrives at the sanitarium of his own volition, looking for Harvey. But it seems that Elwood and his invisible companion have had a strange influence on more than one of the doctors. Only at the end does Veta realize that maybe Harvey isn’t so bad after all.",,,
502,"Haunting of Hathaway House, The","Murray, John",08-18,6,7,1,14,FALSE,19,Mystery,1979,,"Plays, Inc.",TRUE,FALSE,FALSE,,Are the inhabitants of Hathaway House alive or dead?,,,
168,Heidi,"Rogers, June Walker",04-12,3,9,0,12,FALSE,45,,1969,,Dramatic Publishing,TRUE,FALSE,TRUE,Based on the Johanni Spyri novel.,"At the opening we find Heidi happy in her mountain home, adored by her grandfather, and busy with his goat, Snowflake. Then suddenly, Aunt Dete arrives bringing with her the unpleasantness of the outside world and whisking Heidi off to Frankfort and the clutches of Miss Rottenmeier. Many of Heidi’s exciting adventures are faithfully retold in this fast moving story. Heidi’s poignant reunion with her grandfather concludes the play in a most satisfying manner.",,,
169,"Heidi Chronicles, The","Wasserstein, Wendy",14-18,3,5,0,8,FALSE,114,,1988,,Dramatists Play Service Inc.,TRUE,TRUE,FALSE,,"Comprised of a series of interrelated scenes, the play traces the coming of age of Heidi Holland, a successful art historian, as she tries to find her bearings in a rapidly changing world. Gradually distancing herself from her friends, she watches them move from the idealism and political radicalism of their college years through militant feminism and, eventually, back to the materialism that they had sought to reject in the first place. Heidi's own path to maturity involves an affair with the glib, arrogant Scoop Rosenbaum, a womanizing lawyer/publisher who eventually marries for money and position; a deeper but even more troubling relationship with a charming, witty young pediatrician, Peter Patrone, who turns out to be gay; and increasingly disturbing contacts with the other women, now much changed, who were a part of her childhood and college years. Eventually Heidi comes to accept the fact that liberation can be achieved only if one is true to oneself, with goals that come out of need rather than circumstance. As the play ends she is still ""alone,"" but having adopted an orphaned baby, it is clear that she has begun to find a sense of fulfillment and continuity that may well continue to elude the others of her anxious, self-centered generation.",,,
170,Hercules,"Stephens, Jeffryn",04-12,2,0,17,19,TRUE,7,Mythology,,Unknown,Unknown,TRUE,FALSE,TRUE,Adapted from the myths of Hercules,"An adaptation of some of the labors of Hercules, includes the Hydra, the golden apples, and his bout with Atlas.",,,
171,"Hobbit, The","Stephens, Jeffryn",04-18,4,0,41,45,TRUE,68,,1990,,YPPC,FALSE,TRUE,TRUE,Adapted from JRR Tolkien's The Hobbit.,"The Hobbit is set within Tolkien's Middle-earth and follows the quest of home-loving Bilbo Baggins, the titular hobbit, to win a share of the treasure guarded by a dragon named Smaug. Bilbo's journey takes him from his light-hearted, rural surroundings into more sinister territory.",,"This has been changed from the book very little, and has a lot of direct quotes. The Tolkien estate tends to be litigious, so erring on the side of caution until the copyright expiresin 2032 might be a good idea with this one.",
172,"Hollow, The","Christie, Agatha",10-18,6,6,0,12,FALSE,105,Mystery,1951,,"Samuel French, Inc.",TRUE,FALSE,TRUE,Adapted from Agatha Christie's novel The Hollow.,"An unhappy game of romantic follow-the-leader explodes into murder one weekend at The Hollow, home of Sir Henry and Lucy Angkatell. Dr. Cristow is at the center of the trouble when his mistress Henrietta, ex-mistress Veronica, and wife Gerda, simultaneously arrive at The Hollow. Add a protective butler, throw in a couple cousins, and you have a classic whodunnit. Try to beat the inspector to figure out who the killer is!",,,
173,"Honorable Urashima Taro, The","Jennings, Coleman A.",06-12,6,3,8,17,TRUE,32,,1999,,Dramatic Publishing,TRUE,FALSE,FALSE,,"A young fisherman rescues a venerable turtle from its tormentors. As a reward, he is taken to an undersea wonderland where he wins the favor of the princess and saves her kingdom from destruction by the wicked scorpion. The fisherman becomes a prince; years pass unnoticed; his village wife and children are driven from his mind. But still the homesick prince longs for the changing seasons of his village and begs the princess to let him go back. The fisherman/prince thinks that he's only been gone for a few days, but on his return to land, he makes the shattering discovery that many, many years have passed. The turtle calls to him that he can still return to the underwater world and to eternal youth but now he must make his choice",,,
174,Horton Hatches the Egg,"Anderson, Rachel",04-10,1,1,13,15,TRUE,9,Comedy,1940,,Random House,TRUE,FALSE,TRUE,Based on the Dr. Seuss story.,"The story of Horton the Elephant, who is tricked into sitting on a bird's egg while its mother, Mayzie, takes a permanent vacation to Palm Beach. Horton endures a number of hardships but persists, often stating, ""I meant what I said, and I said what I meant. An elephant's faithful, one hundred percent!"" Ultimately, the egg hatches, revealing an elephant-bird, a creature with a blend of Mayzie's and Horton's features.",,,
175,"House is Haunted, The","Hark, Mildred",04-10,5,5,1,11,TRUE,12,,1955,,"Boston Plays, Inc.",FALSE,FALSE,FALSE,,"A group of children are preparing for a Halloween party, but it turns out their house is haunted by an old man. Their mother is skeptical about the ghost, and the spooky noises turn out to be the father.",,"Two copies of this are versions that were adapted by Jeffryn Stephens. Published as Junior Plays for all Occasions, A Collection of Royalty-Free, One-Act Plays for Children by Mildred Hark (edited by Noel McQueen). Contained in a folder titled ""Halloween Plays""",
176,"House of Bernarda Alba, The","Garcia Lorca, Federico",16-18,0,10,0,10,FALSE,54,,2007,,A.S. Kline,TRUE,FALSE,TRUE,Translation of Federico Garcia Lorca's final play.,"Forced to live under their mother’s tight grip as they mourn their father’s death, can five sisters survive when young Adela dares for passion and freedom?",,,
177,Hunting Cockroaches,"Glowacki, Janusz",12-18,2,2,5,9,FALSE,11,,1985,,Concord Theatricals,TRUE,FALSE,FALSE,,"An off beat comedy about a contemporary immigrant couple from Poland who are having a hard time in their strange new country. Anka, a well known actress in Warsaw, can't get work because of her accent; Jan, a writer, is struggling with writer's block. As they try to get some sleep, flash backs bring characters from their past crawling from beneath the bed.",,"In an American Theatre Magazine, May 1987",
178,I Didn't Know That!,"Saldaña, Johnny",06-12,2,2,1,5,FALSE,28,,1980,,Dramatic Publishing,TRUE,FALSE,FALSE,,"I Didn't Know That! is a lighthearted revue of first facts, selected oddities and world records. The Guinness Book of World Records is incorporated in this creative and exciting new comedy for children. I Didn't Know That! presents more than 50 startling facts in a 35-minute, trivia-style revue. Audiences have ""oohed"" and ""ahhed"" in amazement to learn such fascinating facts as the first policewoman, the origins of superstitions and the world records for leapfrogging, sneezing and egg laying. Rapid-fire sketches and songs plus total reliance on ensemble acting make this comedy both simple and challenging to stage—and a world winner with young audiences.",,,
179,I Never Saw Another Butterfly: Children’s Poems and Drawings from Terezin Concentration Camp 1942 - 1944,"Raspanti, Celeste",12-18,4,7,2,13,TRUE,48,,1994,,Dramatic Publishing,TRUE,TRUE,TRUE,"Based on the book, I Never Saw Another Butterfly: Children’s Poems and Drawings from Terezin Concentration Camp 1942 - 1944 that was originally published in 1964","Over 15,000 children passed through the gates of Terezin, a concentration camp 30 miles north of Prague. Fewer than 100 survived. I Never Saw Another Butterfly, tells the story of the children of Terezin through the eyes of Raja Englandrova. Raja narrates and tells their story in flashbacks as she learns from Irena Synkova, a teacher who gives the children hope when there is no hope left and gives them the courage to write and draw about their experiences. We see the world of Terezin through their eyes, a world of laughter, of flowers, and of butterflies. From behind the barbed wire fences, teachers and students were able to show defiance; by learning even when it was forbidden, by drawing pictures of life as well as of death, and by writing poems about something bright and colorful they may have caught a glimpse of. The most famous symbol of hope was a yellow butterfly from a poem written by Pavel Friedman.",,,
180,I Remember Mama,"Van Druten, John",08-18,9,13,0,22,FALSE,173,,1944,,"Samuel French, Inc.",TRUE,FALSE,TRUE,,"Mama, with the help of her husband and Uncle Chris, brings up the children in their modest San Francisco home during the early years of the 20th century. Mama, a sweet and capable manager, sees her children through childhood, manages to educate them, and helps one of her daughters begin her career as a writer. Mama's sisters and uncle furnish a rich background for a great deal of comedy and a little incidental tragedy, while the doings of the children keep everyone in pleasant turmoil.",,Some scripts may be fragmentary; some acts are physically separated.,
181,"Ice Wolf, The","Kraus, Joanna H.",04-18,8,7,0,15,TRUE,37,,1991,,Dramatic Publishing,TRUE,FALSE,TRUE,Based on East Coast Hudson Bay Inuit mythology.,"From the East Coast Hudson Bay Inuits comes an exciting, authentic tale of a pale-haired child, exiled by her own people because she was ""Anatou—the different one."" In a village ruled by spirits, shamans, superstition and myth, such a different one has no place. During a famine, her parents disappear in a storm, and Anatou is cast out by the community. She seeks out the forest, into which no Inuit goes, and begs the Wood God to turn her into a wolf.",,,
